Year,Meat,Crops,Diversity,Timber,Carbon,Urban,Recreation
2016,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2017,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2018,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2019,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2020,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2021,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2022,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2023,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2024,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2025,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2026,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2027,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2028,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2029,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2030,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2031,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2032,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2033,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2034,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2035,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2036,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2037,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2038,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2039,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2040,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2041,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2042,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2043,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2044,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2045,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2046,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2047,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2048,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2049,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2050,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2051,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2052,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2053,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2054,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2055,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2056,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2057,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2058,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2059,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2060,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2061,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2062,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2063,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2064,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2065,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2066,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2067,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2068,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2069,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2070,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2071,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2072,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2073,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2074,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2075,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2076,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2077,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2078,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2079,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2080,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2081,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2082,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2083,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2084,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2085,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2086,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2087,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2088,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2089,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2090,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2091,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2092,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2093,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2094,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2095,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2096,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2097,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2098,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2099,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
2100,1108954.915,2483703.551,14832.221,61679.319,21141382.62,1,3356.413
